编号,标题,链接,状态,创建日期,指派日期,指派者,创建者,解决者,解决方案,解决日期
77736,【生产环境-供应链】今麦郎邢台市   司机扫码领单页面空白、卡顿,https://pms.dinghuo123.com/bug-view-77736.html,激活,2026-06-22 10:23:27,2026-06-22 10:42:55,刘畅,刘璇,,,0000-00-00 00:00:00
77735,【生产环境-2.0】【PC管理端-客户拉新提成】退单扣掉的客户拉新提成金额错误,https://pms.dinghuo123.com/bug-view-77735.html,激活,2026-06-22 10:12:17,2026-06-22 10:56:31,谢启才,梁丽芳,,,0000-00-00 00:00:00
77733,【生产环境-2.0】【易订货2.0】2.0系统，设置了库存不足不允许订货，还是出现了商品：优质叉骨被超库存预购,https://pms.dinghuo123.com/bug-view-77733.html,激活,2026-06-21 19:01:24,2026-06-22 10:02:33,伍官华,唐姣凤,,,0000-00-00 00:00:00
77732,【生产环境】新增客户拜访记录页面拍照之后图片不显示，可以具体看附件客户操作视频,https://pms.dinghuo123.com/bug-view-77732.html,激活,2026-06-20 16:38:20,2026-06-22 10:01:02,王凯霞,丁玲,,,0000-00-00 00:00:00
77731,【生产环境·易订货2.0】手机端不能打印自定义导出模板,https://pms.dinghuo123.com/bug-view-77731.html,激活,2026-06-19 16:45:52,2026-06-22 11:51:22,刘畅,丁孟蝶,,,0000-00-00 00:00:00
77728,【生产环境·2.0】批量修改客户信息-联系电话，系统里支持20以上，导出再导入之后就提示导入失败不能超过20个字符,https://pms.dinghuo123.com/bug-view-77728.html,已解决,2026-06-18 19:01:20,2026-06-22 11:12:46,唐晨湘,唐晨湘,伍官华,已解决,2026-06-22 11:12:09
77725,【生产环境】员工：蔡荣 按员工指定设置：区域 榆林宝鸡西安市  电脑端员工新增客户页面区域默认是 榆林宝鸡西安市，但APP端新增客户区域默认是  区域,https://pms.dinghuo123.com/bug-view-77725.html,激活,2026-06-18 15:50:19,2026-06-18 16:20:42,刘畅,丁玲,,,0000-00-00 00:00:00
77722,【生产环境】订单提交支付页面 提示 商品超订,https://pms.dinghuo123.com/bug-view-77722.html,激活,2026-06-18 14:57:48,2026-06-22 10:59:49,谢启才,丁玲,,,0000-00-00 00:00:00
77718,【生产环境】商品：MDG15  最低售价箱 352，但客户确低于售价 328.00   提交成功了,https://pms.dinghuo123.com/bug-view-77718.html,已解决,2026-06-18 12:01:28,2026-06-22 11:11:53,丁玲,丁玲,伍官华,不是BUG,2026-06-22 10:54:35
77717,【生产环境】CA000000-260411-09311、CA000000-260429-12127  订单中 都下了商品 05000522  单没有生成客户单独定价,https://pms.dinghuo123.com/bug-view-77717.html,已解决,2026-06-18 10:44:07,2026-06-22 10:34:46,丁玲,丁玲,邓锦坤,不是BUG,2026-06-22 10:34:40
77715,【生产环境-易订货2.0】【PC管理端-采购】作废采购订单无提示，作废不了,https://pms.dinghuo123.com/bug-view-77715.html,激活,2026-06-18 10:10:57,2026-06-18 13:38:30,谢启才,丁孟蝶,,,0000-00-00 00:00:00
77709,【生产环境-供应链】宁惠鲜   总部查询的分公司客户销售数据和分公司自查的不一样,https://pms.dinghuo123.com/bug-view-77709.html,激活,2026-06-17 16:30:50,2026-06-17 18:03:25,伍官华,刘璇,,,0000-00-00 00:00:00
77708,【生产环境】这笔订单 小B通过分享对账单的链接在线支付成功了，6.2日支付的，6.3日系统自动作废了收款单，自动退回到了余额账户，是什么原因呢,https://pms.dinghuo123.com/bug-view-77708.html,已关闭,2026-06-17 10:18:42,2026-06-17 16:49:25,未知用户,丁玲,谢启才,不是BUG,2026-06-17 15:22:45
